20270;01140203700001;01140203700001;YSUR;LdS.x-1;YPF.Nq.LdS.x-1;GL;725.0;1753.5;2440076.74187855;5657146.2907127;Loma del Sueno;Neuquen;N/D;AMERICAS PETROGAS;1984-01-01;1;TOTORAL;Neuquen;YSUR;Projection unknown. Data from JAC;AMERICAS PETROGAS
30607;PLU.Nq.Ce-1562(d);PLU.Nq.Ce-1562(d);SEN;Ce-1562(d);PLU.Nq.Ce-1562(d);GL;358.68;3546.0;2567313.97979586;5693257.55738103;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-11-01;1562(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159093;UNKNOWN
30612;PLU.Nq.Ce-1563(d);PLU.Nq.Ce-1563(d);SEN;Ce-1563(d);PLU.Nq.Ce-1563(d);GL;358.65;3615.5;2567313.99411999;5693269.436823;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-10-15;1563(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158936;UNKNOWN
30614;PLU.Nq.Ce-1564(d);PLU.Nq.Ce-1564(d);SEN;Ce-1564(d);PLU.Nq.Ce-1564(d);GL;360.85;3550.0;2566947.76148412;5693495.59108873;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-02-21;1564(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158018;UNKNOWN
30615;PLU.Nq.Ce-1565(d);PLU.Nq.Ce-1565(d);SEN;Ce-1565(d);PLU.Nq.Ce-1565(d);GL;361.65;3780.0;2566540.95817711;5694243.4359843;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-08-06;1565(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159868;UNKNOWN
30618;PLU.Nq.Ce-1567(d);PLU.Nq.Ce-1567(d);SEN;Ce-1567(d);PLU.Nq.Ce-1567(d);GL;356.59;3874.4;2569451.35375392;5693639.32766122;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-05-07;1567(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158199;UNKNOWN
30623;PLU.Nq.Ce-1574(d);PLU.Nq.Ce-1574(d);SEN;Ce-1574(d);PLU.Nq.Ce-1574(d);GL;274.12;3462.0;2561857.02059245;5694703.98070216;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-06-28;1574(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158391;UNKNOWN
30621;PLU.Nq.Ce-1570(d);PLU.Nq.Ce-1570(d);SEN;Ce-1570(d);PLU.Nq.Ce-1570(d);GL;367.1;3230.0;2566680.47687649;5693637.84897562;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-09-30;1570(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157287;UNKNOWN
30627;PLU.Nq.Ce-1572(d);PLU.Nq.Ce-1572(d);SEN;Ce-1572(d);PLU.Nq.Ce-1572(d);GL;289.41;3305.4;2562047.54245293;5693696.84982443;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2018-01-26;1572(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 159097;UNKNOWN
30629;PLU.Nq.Ce-1578(d);PLU.Nq.Ce-1578(d);SEN;Ce-1578(d);PLU.Nq.Ce-1578(d);GL;359.96;3408.0;2568046.20315775;5692673.52366985;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-08-14;1578(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158501;UNKNOWN
30631;PLU.Nq.Ce-1580(d);PLU.Nq.Ce-1580(d);SEN;Ce-1580(d);PLU.Nq.Ce-1580(d);GL;359.95;3588.0;2568046.74186711;5692685.73170719;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-07-27;1580(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158499;UNKNOWN
